id,full_name,position
252,Raúl Jiménez,FWD
253,Tim Ream,DEF
254,Harrison Reed,MID
255,Antonee Robinson,DEF
256,Jay Stansfield,FWD
257,Kenny Tete,DEF
258,Carlos Vinícius Alves Morais,FWD
259,Harry Wilson,MID
579,Ryan Sessegnon,DEF
586,Jorge Cuenca Barreno,DEF
604,Josh King,MID
605,Martial Godo,MID
622,Sander Berge,MID
260,Ali Al-Hamadi,FWD
261,Elkan Baggott,DEF
262,Nathan Broadhead,MID
263,Cameron Burgess,DEF
264,Wes Burns,MID
265,Conor Chaplin,MID
266,Harry Clarke,DEF
267,Leif Davis,DEF
268,Liam Delap,FWD
269,George Edmundson,DEF
270,Jacob Greaves,DEF
271,Marcus Myers-Harness,MID
272,George Hirst,FWD
273,Cameron Humphreys,MID
274,Omari Giraud-Hutchinson,MID
275,Ben Johnson,DEF
276,Freddie Ladapo,FWD
277,Massimo Luongo,MID
278,Sam Morsy,MID
279,Corrie Ndaba,DEF
280,Cieran Slicker,GK
281,Jack Taylor,MID
282,Axel Tuanzebe,DEF
283,Christian Walton,GK
284,Luke Woolfenden,DEF
359,Kalvin Phillips,MID
568,Arijanet Muric,GK
583,Conor Townsend,DEF
611,Sam Szmodics,MID
619,Jens Cajuste,MID
630,Dara O'Shea,DEF
631,Jack Clarke,MID
632,Chiedozie Ogbene,MID
117,Facundo Buonanotte,MID
192,Jordan Ayew,MID
198,Odsonne Edouard,FWD
285,Boubakary Soumaré,MID
286,Tom Cannon,FWD
287,Hamza Choudhury,MID
288,Conor Coady,DEF
289,Patson Daka,FWD
290,Bobby De Cordova-Reid,MID
291,Wout Faes,DEF
292,Michael Golding,MID
293,Mads Hermansen,GK
294,Daniel Iversen,GK
295,James Justin,DEF
296,Victor Kristiansen,DEF
297,Wanya Marçal-Madivádua,MID
298,Stephy Mavididi,MID
299,Kasey McAteer,MID
300,Wilfred Ndidi,MID
301,Caleb Okoli,DEF
302,Ricardo Barbosa Pereira,DEF
303,Harry Souttar,DEF
304,Jakub Stolarczyk,GK
305,Luke Thomas,DEF
306,Jamie Vardy,FWD
307,Jannik Vestergaard,DEF
308,Danny Ward,GK
309,Harry Winks,MID
501,Oliver Skipp,MID
570,Abdul Fatawu,MID
606,Will Alves,MID
616,Ben Nelson,DEF
635,Bilal El Khannouss,MID
310,Alisson Ramses Becker,GK
311,Trent Alexander-Arnold,DEF
312,Stefan Bajčetić Maquieira,MID
313,Conor Bradley,DEF
315,Bobby Clark,MID
316,Darwin Núñez Ribeiro,FWD
317,Diogo Teixeira da Silva,MID
318,Ben Doak,MID
319,Harvey Elliott,MID
320,Endo Wataru,MID
321,Cody Gakpo,FWD
322,Joe Gomez,DEF
323,Ryan Gravenberch,MID
324,Curtis Jones,MID
325,Caoimhin Kelleher,GK
326,Ibrahima Konaté,DEF
327,Luis Díaz,MID
328,Mohamed Salah,MID
329,Alexis Mac Allister,MID
330,James McConnell,MID
331,Tyler Morton,MID
332,Nathaniel Phillips,DEF
333,Jarell Quansah,DEF
334,Rhys Williams,DEF
335,Andrew Robertson,DEF
336,Dominik Szoboszlai,MID
337,Konstantinos Tsimikas,DEF
339,Virgil van Dijk,DEF
636,Federico Chiesa,MID
660,Vítezslav Jaros,GK
669,Harvey Davies,GK
340,Manuel Akanji,DEF
341,Nathan Aké,DEF
342,Bernardo Veiga de Carvalho e Silva,MID
343,Oscar Bobb,MID
344,Scott Carson,GK
345,Kevin De Bruyne,MID
346,Jérémy Doku,MID
347,Ederson Santana de Moraes,GK
348,Phil Foden,MID
349,Jack Grealish,MID
350,Joško Gvardiol,DEF
351,Erling Haaland,FWD
352,Julián Álvarez,FWD
353,João Cavaco Cancelo,DEF
354,Mateo Kovačić,MID
355,Rico Lewis,DEF
356,Matheus Luiz Nunes,MID
357,James McAtee,MID
358,Stefan Ortega Moreno,GK
360,Rodrigo 'Rodri' Hernandez,MID
361,Rúben Gato Alves Dias,DEF
362,John Stones,DEF
363,Kyle Walker,DEF
571,Sávio 'Savinho' Moreira de Oliveira,MID
607,Nico O'Reilly,MID
625,Ilkay Gündogan,MID
626,Issa Kaboré,DEF
671,Jacob Wright,MID
672,Jahmai Simpson-Pusey,DEF
675,Josh Wilson-Esbrand,DEF
364,Amad Diallo,MID
365,Antony Matheus dos Santos,MID
366,Bruno Borges Fernandes,MID
367,Altay Bayindir,GK
368,Carlos Henrique Casimiro,MID
369,Diogo Dalot Teixeira,DEF
370,Christian Eriksen,MID
371,Jonny Evans,DEF
372,Alejandro Garnacho,MID
373,Hannibal Mejbri,MID
374,Tom Heaton,GK
375,Rasmus Højlund,FWD
376,Victor Lindelöf,DEF
377,Harry Maguire,DEF
378,Kobbie Mainoo,MID
379,Tyrell Malacia,DEF
380,Lisandro Martínez,DEF
381,Scott McTominay,MID
382,Mason Mount,MID
383,André Onana,GK
384,Facundo Pellistri Rebollo,MID
385,Marcus Rashford,MID
387,Luke Shaw,DEF
389,Joshua Zirkzee,FWD
572,Leny Yoro,DEF
593,Matthijs de Ligt,DEF
594,Noussair Mazraoui,DEF
613,Toby Collyer,MID
648,Ethan Wheatley,FWD
652,Manuel Ugarte,MID
667,Jack Fletcher,MID
670,Harry Amass,DEF
673,Jayce Fitzgerald,MID
390,Alex Murphy,DEF
391,Miguel Almirón Rejala,MID
392,Harvey Barnes,MID
393,Sven Botman,DEF
394,Bruno Guimarães Rodriguez Moura,MID
395,Dan Burn,DEF
396,Martin Dúbravka,GK
398,Anthony Gordon,MID
399,Lewis Hall,DEF
400,Isaac Hayden,MID
401,Alexander Isak,FWD
402,Jacob Murphy,MID
403,Joelinton Cássio Apolinário de Lira,MID
404,Lloyd Kelly,DEF
405,Emil Krafth,DEF
406,Garang Kuol,MID
407,Jamaal Lascelles,DEF
408,Jamal Lewis,DEF
409,Tino Livramento,DEF
410,Sean Longstaff,MID
411,Lewis Miley,MID
412,Odysseas Vlachodimos,GK
413,Nick Pope,GK
414,John Ruddy,GK
415,Fabian Schär,DEF
416,Matt Targett,DEF
417,Sandro Tonali,MID
418,Kieran Trippier,DEF
419,Joe White,MID
420,Joe Willock,MID
421,Callum Wilson,FWD
574,Miodrag Pivaš,DEF
590,William Osula,FWD
26,Álex Moreno Lopera,DEF
422,Ola Aina,DEF
423,Elliot Anderson,MID
424,Taiwo Awoniyi,FWD
425,Willy Boly,DEF
